Player,Team,GP,TOI,G,A1,A2,Points,ixG,GIVE,TAKE,WAR,p/60
A.J. Greer,COL,5,68.28,0,0,1,1,1.02,2,1,0,0.878734648
Aaron Ekblad,FLA,68,1459.28,10,4,7,21,12.03,58,25,-0.8,0.8634395
Aaron Ness,WSH,2,25.67,0,0,0,0,0.03,1,0,0,0
Adam Clendening,NYR,31,490.1,2,2,7,11,1.16,20,7,0.3,1.346664
Adam Cracknell,DAL,69,721.75,10,3,3,16,7.83,16,19,1.2,1.33010042
Adam Erne,T.B,26,306.98,3,0,0,3,3.28,5,2,-0.4,0.5863574
Adam Henrique,N.J,82,1490.12,20,13,7,40,18.37,28,45,0.9,1.61060858
Adam Larsson,EDM,79,1591.82,4,3,12,19,2.93,71,28,1.4,0.7161614
Adam Lowry,WPG,82,1316.03,15,7,7,29,18.21,24,29,0.6,1.32215834
Adam McQuaid,BOS,77,1404.25,2,4,4,10,1.88,24,10,0,0.427274346
Adam Pardy,NSH,4,43.97,0,0,0,0,0.1,0,1,-0.2,0
Adam Pelech,NYI,44,740.7,3,1,6,10,1.27,28,17,0.2,0.8100445
Adrian Kempe,L.A,25,305.77,2,3,1,6,2.54,10,5,-0.2,1.17735553
Alan Quine,NYI,61,763.77,5,6,7,18,7.81,18,17,0.2,1.41403818
Alec Martinez,L.A,82,1774.58,9,13,17,39,9.16,51,5,1.7,1.31862187
Aleksander Barkov,FLA,61,1184.1,21,21,10,52,15.28,30,49,2.8,2.63491273
Ales Hemsky,DAL,15,216.3,4,3,0,7,3.15,6,9,0.1,1.94174755
Alex Biega,VAN,36,474.07,0,1,2,3,1.25,7,5,-1.1,0.379690766
Alex Burmistrov,ARI,26,400.48,5,6,3,14,3.62,7,7,0.4,2.097483
Alex Burmistrov,WPG,23,253.95,0,2,0,2,0.74,7,5,0.4,0.472533971
Alex Burrows,OTT,20,275.28,6,3,2,11,3.96,4,1,0.3,2.397559
Alex Burrows,VAN,55,822.8,9,7,4,20,9.16,15,34,0.3,1.45843458
Alex Carrier,NSH,2,20.78,0,0,0,0,0.01,0,0,0,0
Alex Chiasson,CGY,81,1084.48,12,5,7,24,9.52,22,32,0.9,1.32782531
Alex Edler,VAN,68,1653.33,6,7,8,21,5.79,37,17,-0.3,0.7620983
Alex Galchenyuk,MTL,61,971.72,17,16,11,44,12.51,34,17,-0.1,2.71683216
Alex Goligoski,ARI,82,1913,6,14,16,36,4.91,57,15,0.4,1.12911654
Alex Grenier,VAN,3,19.45,0,0,0,0,0.02,0,0,0,0
Alex Killorn,T.B,81,1458.23,19,11,6,36,17.03,43,33,0.9,1.48124778
Alex Nylander,BUF,4,49.32,0,1,0,1,0.16,3,3,0,1.216545
Alex Ovechkin,WSH,82,1506.02,33,20,16,69,30.11,46,29,1.1,2.74896741
Alex Petrovic,FLA,49,889.35,1,5,8,14,2.08,27,16,0.5,0.944510043
Alex Pietrangelo,STL,80,2022.55,14,17,17,48,8.94,27,51,2.4,1.423945
Alex Radulov,MTL,76,1390.08,18,26,10,54,18.62,52,42,1.9,2.33080125
Alex Steen,STL,76,1467.23,16,20,15,51,14.97,18,27,1.5,2.08556271
Alex Tuch,MIN,6,64.22,0,0,0,0,0.88,0,2,-0.2,0
Alex Wennberg,CBJ,80,1470.2,13,27,19,59,10.87,31,44,2.3,2.40783572
Alexei Emelin,MTL,76,1620.45,2,3,5,10,2.86,84,16,0.1,0.37026754
Alexey Marchenko,DET,30,539.42,0,1,5,6,1.07,16,3,0.4,0.6673835
Alexey Marchenko,TOR,11,155.58,1,0,1,2,0.44,6,2,0.4,0.771307349
Anders Lee,NYI,81,1262.65,34,11,7,52,26.59,26,22,2.2,2.47099352
