Player,Team,GP,Goals,Assists,Total Points,IPP,ixG,PIM,Giveaways,Takeaways,TOI,WAR,p/60
Matt Duchene,"CBJ, OTT",73,22,23,45,72.58,13.28,0,51,45,412.7,-0.1,6.542282
Colton Sceviour,FLA,59,4,9,13,56.52,7.65,0,20,12,725.4,1.2,1.07526875
Chandler Stephenson,WSH,64,4,6,10,71.43,3.11,0,10,15,775.5,-1.3,0.7736944
Valeri Nichushkin,DAL,57,0,9,9,50,4.93,0,30,24,679.3,0.8,0.794936
Ryan Spooner,"EDM, NYR, VAN",52,3,5,8,72.73,4.07,0,18,10,241.7,-0.5,1.985933
Trevor Moore,TOR,25,2,6,8,88.89,2.15,0,9,8,227.3,0.5,2.11174655
Dylan Sikura,CHI,33,0,7,7,43.75,3.24,0,7,23,372.3,0.7,1.12812257
Max Comtois,ANA,10,2,5,7,87.5,0.89,0,4,2,145.9,0.3,2.878684
Martin Frk,DET,30,0,5,5,71.43,2.16,0,10,2,275.6,-0.3,1.08853412
Paul LaDue,L.A,33,2,3,5,31.25,1.13,0,9,2,N/A,N/A,N/A
Ryan Graves,COL,26,3,2,5,38.46,0.94,0,11,5,288.7,0.1,1.03914094
Corban Knight,PHI,23,1,3,4,100,1.17,0,1,4,221.8,-0.5,1.08205593
Brendan Gaunce,VAN,3,1,2,3,75,0.09,0,1,0,22.8,0.2,7.89473724
Gemel Smith,"BOS, DAL",17,2,1,3,75,1,0,2,5,30,0,6
Nic Petan,"TOR, WPG",18,1,2,3,75,0.91,0,3,4,43.5,-0.1,4.137931
Denis Gurianov,DAL,21,1,2,3,100,1.59,0,4,1,228.3,-0.4,0.788436234
Nathan Bastian,N.J,7,3,0,3,100,1.03,0,0,1,88.8,0.1,2.027027
Ryan Poehling,MTL,1,3,0,3,100,0.22,0,0,0,11.4,0.1,15.7894745
Max Veronneau,OTT,12,1,2,3,100,0.99,0,3,1,150.2,-0.3,1.19840217
Chris Butler,STL,13,1,1,2,28.57,0.38,0,4,3,182.5,0.3,0.657534242
Tom Pyatt,OTT,37,0,2,2,50,2.51,0,8,4,433.4,-1,0.276880473
Andrew Agozzino,COL,11,1,1,2,66.67,0.58,0,4,0,85.9,0,1.39697325
Victor Olofsson,BUF,6,0,2,2,50,1.11,0,1,1,108.1,0.2,1.11008322
C.J. Smith,BUF,11,2,0,2,66.67,1.21,0,3,2,117.2,-0.2,1.02389085
Adam Johnson,PIT,6,0,2,2,66.67,0.23,0,1,2,31.8,0.1,3.773585
Tomas Plekanec,MTL,3,1,0,1,50,0.71,0,0,0,32.5,0,1.84615386
Matt Beleskey,NYR,4,1,0,1,100,0.15,0,2,0,29.5,0,2.03389835
Eric Tangradi,N.J,6,0,1,1,100,0.53,0,1,3,82.7,-0.1,0.725513935
