Player,Team,GP,Goals,Assists,Total Points,IPP,ixG,PIM,Giveaways,Takeaways
Artemi Panarin,NYR,69,21,38,59,78.67,10.93,14,63,46
Leon Draisaitl,EDM,71,22,34,56,81.16,12.98,12,65,48
Nathan MacKinnon,COL,69,18,34,52,75.36,13.92,10,40,31
Patrick Kane,CHI,70,19,31,50,84.75,13.5,18,29,39
Connor McDavid,EDM,64,21,29,50,80.65,14.46,24,59,49
Nikita Kucherov,T.B,68,20,28,48,81.36,11.95,28,42,23
David Pastrnak,BOS,70,25,23,48,78.69,14.19,32,60,44
Evgeni Malkin,PIT,55,16,30,46,85.19,10.27,32,48,57
Brad Marchand,BOS,70,21,25,46,75.41,9.86,34,55,31
Nikolaj Ehlers,WPG,71,18,28,46,93.88,11.15,17,34,29
Auston Matthews,TOR,70,30,15,45,71.43,17.04,6,42,74
Brayden Point,T.B,66,17,27,44,66.67,11.14,9,13,26
Mark Scheifele,WPG,71,13,29,42,62.69,11.99,26,39,47
J.T. Miller,VAN,69,18,24,42,71.19,11.57,30,32,43
Jonathan Toews,CHI,70,11,30,41,74.55,9.85,24,27,45
Jonathan Huberdeau,FLA,69,15,26,41,66.13,9.33,20,56,36
Phillip Danault,MTL,71,11,30,41,69.49,11.12,26,39,26
Max Pacioretty,VGK,71,20,20,40,71.43,17.56,25,44,24
Kyle Connor,WPG,71,21,19,40,76.92,13.44,16,31,32
Elias Pettersson,VAN,68,18,22,40,64.52,11.13,10,23,30
Tomas Tatar,MTL,68,10,29,39,73.58,9.68,32,23,28
Sean Couturier,PHI,69,15,24,39,70.91,12.82,20,27,28
Mathew Barzal,NYI,68,13,26,39,79.59,11.83,22,80,66
Steven Stamkos,T.B,57,14,24,38,77.55,9.28,16,23,21
Roman Josi,NSH,69,10,28,38,51.35,7.43,33,48,29
Mark Stone,VGK,65,13,25,38,76,13.34,18,31,60
William Nylander,TOR,68,19,19,38,79.17,14.79,10,34,37
Jakub Vrana,WSH,69,22,16,38,77.55,12.66,14,37,30
Alex Ovechkin,WSH,68,27,10,37,77.08,15.31,22,35,18
Reilly Smith,VGK,71,17,20,37,77.08,11.74,12,30,46
Mika Zibanejad,NYR,57,19,18,37,80.43,10.36,10,28,27
Sebastian Aho,CAR,68,21,16,37,69.81,12.62,14,47,51
Jakub Voracek,PHI,69,7,29,36,76.6,6.77,21,26,26
John Carlson,WSH,69,11,25,36,56.25,5.39,18,58,31
Ryan O'Reilly,STL,71,7,29,36,69.23,7.57,6,15,57
Brendan Gallagher,MTL,59,19,17,36,67.92,18.48,14,14,34
Aleksander Barkov,FLA,66,13,23,36,75,9.72,12,41,40
Timo Meier,S.J,70,17,19,36,90,15.68,22,28,31
Connor Brown,OTT,71,13,22,35,83.33,11.74,22,29,36
Dominik Kubalik,CHI,68,23,12,35,71.43,11.26,14,23,22
Sam Reinhart,BUF,69,16,19,35,72.92,9.94,4,24,20
Jack Eichel,BUF,68,17,18,35,63.64,11.19,12,48,37
Patrik Laine,WPG,68,15,20,35,66.04,9.93,12,47,28
Ryan Nugent-Hopkins,EDM,65,15,19,34,75.56,10.18,16,25,41
Kevin Fiala,MIN,64,13,21,34,82.93,8.45,34,30,25
Dylan Larkin,DET,71,12,22,34,68,11.46,27,62,34
Robert Thomas,STL,66,9,25,34,77.27,6.96,8,23,41
Andrei Svechnikov,CAR,68,13,21,34,62.96,12.83,36,52,26
Nick Bonino,NSH,67,16,17,33,70.21,9.23,12,16,29
Evgeny Kuznetsov,WSH,63,13,20,33,73.33,7.49,22,40,20
Brock Nelson,NYI,68,15,18,33,75,11.4,22,45,20
Bryan Rust,PIT,55,16,17,33,61.11,10.94,10,31,11
